AvgCyclomatic,AvgEssential,CountDeclClassMethodRatio,CountDeclClassVariableRatio,CountDeclInstanceMethodRatio,CountDeclMethodPrivateRatio,CountDeclMethodProtectedRatio,CountDeclMethodPublicRatio,CountLine,CountLineBlankRatio,CountLineCodeDeclRatio,MaxCyclomatic,RatioCommentToCode,AvgCountClassBase,AvgCountClassCoupled,AvgCountClassDerived,MaxInheritanceTree,AvgPercentLackOfCohesion,AvgCountInput,AvgCountOutput,AvgCountPath,MaxNesting,Bug
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,0.1333333333333333,0.1333333333333333,0.0,4.57,1.0,1.0,1.0,1.0,0.0,5.666666666666667,1.0,0.0,0.0,0
4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,153.0,0.1045751633986928,0.1895424836601307,20.0,0.31,1.0,12.0,0.0,2.0,62.0,3.5,3.8333333333333335,4.5,3.0,0
4.0,1.0,0.0,1.0,1.0,0.2727272727272727,0.0,0.5454545454545454,501.0,0.1477045908183632,0.2315369261477046,10.0,0.16,1.5,32.5,0.0,1.0,53.0,9.0,12.454545454545457,12.090909090909092,5.0,0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,30.0,0.1,0.1666666666666666,1.0,1.7,1.0,2.0,0.0,1.0,0.0,5.0,4.0,1.0,0.0,0
1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,41.0,0.1463414634146341,0.2682926829268293,1.0,0.94,1.0,5.0,0.0,1.0,0.0,7.666666666666667,2.6666666666666665,1.0,0.0,0
1.0,1.0,0.5,0.8333333333333334,0.9210526315789472,0.0526315789473684,0.0,0.9210526315789472,394.0,0.1624365482233502,0.2588832487309644,5.0,0.09,2.2,9.8,0.0,2.0,9.0,2.5,2.6944444444444446,1.9444444444444444,3.0,0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,35.0,0.1142857142857142,0.2,1.0,2.1,2.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,288.0,0.15625,0.2256944444444444,7.0,0.37,1.0,8.0,0.5,1.0,53.5,4.933333333333334,2.3666666666666667,1.3333333333333333,2.0,0
2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.8333333333333334,129.0,0.1782945736434108,0.2248062015503876,6.0,0.45,2.0,14.0,0.0,1.0,66.0,4.5,3.1666666666666665,2.0,2.0,0
4.0,1.0,0.0,0.5,1.0,0.0,0.0,0.375,229.0,0.2008733624454148,0.2532751091703056,7.0,0.22,1.0,5.5,0.0,3.0,7.0,2.375,2.375,13.0,2.0,0
